Category,Sub-Category,Title,Authors / Inventors,Publication Date,Venue / Publisher / Assignee,Publication Link,DOI,Patent / Paper Number(s),Family & Related Numbers,Verification Status,Notes,Featured
Accolade / Recognition,Media feature,Optics Express paper featured in Laser Focus World,D.P. San-Roman-Alerigi (first author),2013-07,Laser Focus World (July 2013 issue),,,,,Verified,"Coverage of 'A possible approach on optical analogues of gravitational attractors' (Opt. Express 21, 8298).",yes
Accolade / Recognition,Corporate recognition,Saudi Aramco Laser Research Team recognition by SVP Waleed A. Al-Mulhim,"Laser Research Team incl. D.P. San Roman Alerigi, S.I. Batarseh, A.A. Alrashed",2023,Saudi Aramco / The Arabian Sun & Aramco Life ('The Power of Lasers'),,,,,Verified,Recognition for the first industrial high-power laser perforation field trial.,yes
Accolade / Recognition,Technical leadership,"Technical program committee service, petroleum engineering conferences (SPE/IPTC-style)",D.P. San Roman Alerigi,Ongoing,Society of Petroleum Engineers / IPTC,,,,,Self-reported - UNVERIFIED,"Specific committee names, roles, and years not confirmed in public sources. Supply details for CV.",no
Accolade / Recognition,Metric,Google Scholar total citations: 437,D.P. San Roman Alerigi,2026-09 (snapshot),Google Scholar (user=fKRPXQIAAAAJ),https://scholar.google.com/citations?user=fKRPXQIAAAAJ&hl=en,,,,Verified (snapshot),h-index and i10-index not retrievable via automated access - capture manually.,no
Accolade / Recognition,Metric,"ResearchGate: 55 publications, 4,330 reads, 238 citations",D.P. San Roman Alerigi,2026-09 (snapshot),ResearchGate,https://www.researchgate.net/profile/Damian-San-Roman-Alerigi-2,,,,Verified (snapshot),Lower than Google Scholar due to narrower indexing coverage.,no
Accolade / Recognition,Metric,Scopus Author ID 55408065500 / ResearcherID N-1562-2016 / ORCID 0000-0002-3571-6776,D.P. San Roman Alerigi,-,Scopus / Web of Science / ORCID,https://orcid.org/0000-0002-3571-6776,,,,Identifiers verified,Scopus h-index and document count paywalled - not obtained.,no
Accolade / Recognition,Education,"PhD, Electrical Engineering (Photonics), KAUST",D.P. San Roman Alerigi,2014,King Abdullah University of Science and Technology; advisor Prof. Boon S. Ooi,https://repository.kaust.edu.sa/handle/10754/335793,,,,Verified,,no
Accolade / Recognition,Education,"M.S., Electrical Engineering (Photonics), KAUST",D.P. San Roman Alerigi,2010,King Abdullah University of Science and Technology,,,,,Verified,Founding member of the KAUST Photonics Master's programme cohort (joined 2010).,no
Accolade / Recognition,Education,"B.S., Physics, UNAM (Universidad Nacional Autonoma de Mexico)",D.P. San Roman Alerigi,-,"UNAM, Mexico City",,,,,UNVERIFIED,Plausible but not confirmed from a primary source. Confirm before including in CV.,no
Accolade / Recognition,Industry award (finalist),Gulf Energy Information Excellence Awards — finalist (team/technology recognition),Team contribution; not an individual award,2026,Gulf Energy Information Excellence Awards (e2 Awards),https://e2awards.com/finalists/,,,,User-provided,"Two technologies named finalists: High-Power Laser Descaler Technology for Surface Flowlines (Best Pipeline Rehabilitation Technology) and WATCH: Wellsite Asset Tracking for Control of Hazards (Best Controls, Instrumentation & Automation Technology – Upstream).",yes
Accolade / Recognition,Award,KAUST Academic Excellence Award,D.P. San Roman Alerigi,2010,King Abdullah University of Science and Technology,,,,,From prior CV (2013),,yes
Accolade / Recognition,Award,KAUST Provost Award,D.P. San Roman Alerigi,2009,King Abdullah University of Science and Technology,,,,,From prior CV (2013),,yes
Accolade / Recognition,Scholarship,KAUST Discovery Scholar,D.P. San Roman Alerigi,2008,King Abdullah University of Science and Technology,,,,,From prior CV (2013),,yes
Accolade / Recognition,Scholarship,Caixa Catalunya – ICFO Research Scholarship,D.P. San Roman Alerigi,2008,Institut de Ciències Fotòniques (ICFO),,,,,From prior CV (2013),,no
Accolade / Recognition,Scholarship,UNAM-PAPIIME Research Scholarship,D.P. San Roman Alerigi,2008,UNAM,,,,,From prior CV (2013),,no
Accolade / Recognition,Scholarship,UMD-REU Research Scholarship,D.P. San Roman Alerigi,2007,University of Maryland,,,,,From prior CV (2013),,no
Accolade / Recognition,Affiliation,Professional memberships,D.P. San Roman Alerigi,2010–2012,"IEEE, American Physical Society, Optica/OSA, SIAM, Sociedad Mexicana de Física, The Competitiveness Institute",,,,,From prior CV (2013),,yes
Accolade / Recognition,Leadership,"Founding Scholar & Founding Chair, KAUST Graduate Student Council",D.P. San Roman Alerigi,2009,King Abdullah University of Science and Technology,,,,,From prior CV (2013),,no
Accolade / Recognition,Leadership,"Vice-President, KAUST Graduate Student Council",D.P. San Roman Alerigi,2012–2013,King Abdullah University of Science and Technology,,,,,From prior CV (2013),"Governance liaison between administration, staff and the student body.",no
Accolade / Recognition,Leadership,"Co-founder & lead developer, Maxwell-GEMS",D.P. San Roman Alerigi,2013–,"Open numerical toolbox for electromagnetic wave propagation (FEM, FDTD, spectral, paraxial methods)",,,,,From prior CV (2013),,no
