Category,Sub-Category,Title,Authors / Inventors,Publication Date,Venue / Publisher / Assignee,Publication Link,DOI,Patent / Paper Number(s),Family & Related Numbers,Verification Status,Notes,Featured,Role Tag,Family Short
Patent,Granted,Measuring wellhead displacement using beam deflection,S.I. Batarseh; D.P. San Roman Alerigi,2026-06-30,Saudi Arabian Oil Company,https://patents.google.com/patent/US12669403B2/en,,US 12669403 B2,Sibling applications: US 2026/0029227 A1 (speckle reflectometry); US 2026/0028895 A1 (shadowgraphy),Verified (user-confirmed),Most recent grant in the portfolio.,no,,
Patent,Granted,"Optical energy apparatus, systems, and methods",D.P. San Roman Alerigi (sole inventor),2026-03-31,Saudi Arabian Oil Company,https://patents.google.com/patent/US12590836B2/en,,US 12590836 B2,Pre-grant publication US 2024/0377249 A1,Verified (user-confirmed),SOLE INVENTOR.,yes,Sole inventor,
Patent,Granted,Photocatalytic conversion of hydrogen sulfide to hydrogen,D.P. San Roman Alerigi; A.C. Cavazos Sepulveda; S.I. Batarseh,2026-02-24,Saudi Arabian Oil Company,https://patents.google.com/patent/US12559366B2/en,,US 12559366 B2,Pre-grant publication US 2024/0327211 A1,Verified (user-confirmed),LEAD INVENTOR. H2S valorization cluster.,yes,Lead inventor,
Patent,Granted,Method and system for predicting properties of rock samples using thermal sensing and machine learning,D.P. San Roman Alerigi (sole inventor),2025/2026,Saudi Arabian Oil Company,https://thepatentplace.com/iplibrary/patent-grant/12682216/,,US 12682216 B2,Pre-grant publication US 2024/0361264 A1,Verified (user-confirmed),SOLE INVENTOR. ML + thermal sensing.,yes,Sole inventor,
Patent,Granted,Characterizing rock properties with optical energy sources in a wellbore,D.P. San Roman Alerigi; S. Alghamdi; S.I. Batarseh,2025-12-02,Saudi Arabian Oil Company,https://patents.google.com/patent/US12487075B2/en,,US 12487075 B2,Pre-grant US 2025/0327656 A1; sibling application US 2025/0327399 A1,Verified,LEAD INVENTOR.,no,,
Patent,Granted,Hydrogen sulfide dissociation using reactive sulfur species,A.C. Cavazos Sepulveda; D.P. San Roman Alerigi,2025-11-04,Saudi Arabian Oil Company,https://patents.google.com/patent/US12459816B2/en,,US 12459816 B2,Pre-grant US 2024/0059564 A1; continuation US 2026/0035245 A1,Verified,,no,,
Patent,Granted,Automated wellhead monitoring using imaging and computer vision,W. Li; Y. Ma; D.P. San Roman Alerigi; M. Deffenbaugh,2025-09-30,Saudi Arabian Oil Company,https://patents.google.com/patent/US12430795B2/en,,US 12430795 B2,Pre-grant US 2024/0331190 A1,Verified,,no,,
Patent,Granted,Generating training samples via 3D modeling for greenhouse gas emission detection,Y. Ma; A. Almadan; W. Li; D.P. San Roman Alerigi,2025-08-19,Saudi Arabian Oil Company,https://patents.google.com/patent/US12394183B2/en,,US 12394183 B2,Pre-grant US 2024/0177457 A1,Verified,GHG emissions / sustainability cluster.,no,,
Patent,Granted,Real-time multimodal radiometry for subsurface characterization during high-power laser operations,D.P. San Roman Alerigi; W. Li; S.I. Batarseh,2025-07-15,Saudi Arabian Oil Company,https://patents.google.com/patent/US12359554B2/en,,US 12359554 B2,Pre-grant US 2022/0290553 A1,Verified,LEAD INVENTOR.,no,,
Patent,Granted,In-situ monitoring of chemical fingerprints in oilfield applications,A.C. Cavazos Sepulveda; D.P. San Roman Alerigi; J.O. Alvarez,2025-03-18,Saudi Arabian Oil Company,https://patents.google.com/patent/US12253459B2/en,,US 12253459 B2,Pre-grant US 2023/0100258 A1,Verified,,no,,
Patent,Granted,System and method for in-situ probing of a conduit,S.M. Mutairi; D.P. San Roman Alerigi; S.I. Batarseh,2024-12-31,Saudi Arabian Oil Company,https://patents.google.com/patent/US12181418B2/en,,US 12181418 B2,Pre-grant US 2024/0142383 A1,Verified,,no,,
Patent,Granted,Contactless measurement of rock wettability by photonic techniques,A.C. Cavazos Sepulveda; D.P. San Roman Alerigi; Z.K. Kaidar; T. Zahrani,2024-12-31,Saudi Arabian Oil Company,https://patents.google.com/patent/US12181406B2/en,,US 12181406 B2,Pre-grant US 2024/0201079 A1,Verified,,no,,
Patent,Granted,Reconfigurable optics for beam transformation,D.P. San Roman Alerigi; S.I. Batarseh,2024-11-12,Saudi Arabian Oil Company,https://patents.google.com/patent/US12140850B2/en,,US 12140850 B2,FAMILY: EP 4118301 B1; WO 2021/181144 A1; CN 115552096 B; SA 522440458 B1 (priority 2020-03-11),Verified,LEAD INVENTOR. Four-jurisdiction family consolidated into this single entry.,yes,Lead inventor · 4-jurisdiction family,EP / WO / CN / SA
Patent,Granted,Methods to harvest thermal energy during subsurface high power laser transmission,D.P. San Roman Alerigi (sole inventor),2024-07-02,Saudi Arabian Oil Company,https://patents.google.com/patent/US12029125B2/en,,US 12029125 B2,Related family member US 11611029,Verified,SOLE INVENTOR.,no,,
