Category,Sub-Category,Title,Authors / Inventors,Publication Date,Venue / Publisher / Assignee,Publication Link,DOI,Patent / Paper Number(s),Family & Related Numbers,Verification Status,Notes,Featured,Venue Short,Display Authors
Journal Article,Peer-reviewed,Photochemical valorization of hydrogen sulfide: a study of UV-induced decomposition pathways,H.A. Khan; A. Elkhazraji; M. Abou-Daher; D.P. San Roman Alerigi; K. Hazazi; A. Farooq,2025,"RSC Advances 15(44), 37299-37308; Royal Society of Chemistry",https://doi.org/10.1039/D5RA04250J,10.1039/d5ra04250j,,,Verified,Open access. Reported up to 44% H2S conversion (laser) and 52% (Hg lamp) in 60 min.,yes,RSC Advances,Khan *et al.*
Journal Article,Peer-reviewed,Solar Fuel Production from Hydrogen Sulfide: An Upstream Energy Perspective,M. Ferree; J. Kosco; F. Laquai; A. Cavazos Sepulveda; D.P. San Roman Alerigi,2023-03-31,"Advanced Energy and Sustainability Research 4(8), 2200201; Wiley",https://doi.org/10.1002/aesr.202200201,10.1002/aesr.202200201,,,Verified,Senior/last author. KAUST-Aramco collaboration (Laquai group).,yes,Adv. Energy Sustain. Res.,
Journal Article,Peer-reviewed,The quantum beam splitter revisited without a vacuum state,A. Nahmad; D.P. San-Roman-Alerigi; E.M. Hernandez Gonzalez; E. Barrios; G. Armendariz Pena; V.M. Velazquez Aguilar,2022-01-01,"Revista Mexicana de Fisica E 19(1), 010210; Sociedad Mexicana de Fisica",https://doi.org/10.31349/RevMexFisE.19.010210,10.31349/revmexfise.19.010210,,,Verified,Independent quantum-optics pedagogy work with Mexican collaborators (UNAM).,no,Rev. Mex. Fis. E,
Journal Article,Peer-reviewed,Thermal/Mechanical Interaction in Laser Perforation Process: Numerical-Model Buildup and Parametric Study,Y. Han; Y. Fang; D.P. San Roman Alerigi; S.I. Batarseh,2019-05-27,"SPE Journal 24(05), 2097-2110; Society of Petroleum Engineers",https://doi.org/10.2118/183836-PA,10.2118/183836-pa,SPE-183836-PA,Journal version of conference paper SPE-183836-MS (MEOS 2017),Verified,Peer-reviewed SPE Journal article; consolidate with SPE-183836-MS in CV if space-limited.,yes,SPE Journal,
Journal Article,Peer-reviewed,On the phenomenon of large photoluminescence red shift in GaN nanoparticles,A. Ben Slimane; A. Najar; R.T. ElAfandy; D.P. San-Roman-Alerigi; D.H. Anjum; T.K. Ng; B.S. Ooi,2013-07-31,"Nanoscale Research Letters 8(1), 342; Springer",https://doi.org/10.1186/1556-276X-8-342,10.1186/1556-276x-8-342,,,Verified,KAUST Photonics Lab. Highly cited nanophotonics paper.,no,Nanoscale Research Letters,
Journal Article,Peer-reviewed,A possible approach on optical analogues of gravitational attractors,D.P. San-Roman-Alerigi; A. Ben Slimane; T.K. Ng; M. Alsunaidi; B.S. Ooi,2013-03-28,"Optics Express 21(7), 8298-8310; Optica (OSA)",https://doi.org/10.1364/OE.21.008298,10.1364/oe.21.008298,,Preprint: arXiv:1304.0013 (https://arxiv.org/abs/1304.0013),Verified,"FIRST AUTHOR. Most-cited work. Featured in Laser Focus World, July 2013. Consolidated with arXiv preprint.",yes,Optics Express,
Journal Article,Peer-reviewed,Electron irradiation induced reduction of the permittivity in chalcogenide glass (As2S3) thin film,D.P. San-Roman-Alerigi; D.H. Anjum; Y. Zhang; X. Yang; A. Ben Slimane; T.K. Ng; M.N. Hedhili; M. Alsunaidi; B.S. Ooi,2013-01-28,"Journal of Applied Physics 113(4), 044116; AIP Publishing",https://doi.org/10.1063/1.4789602,10.1063/1.4789602,,Preprint: arXiv:1208.4542 (https://arxiv.org/abs/1208.4542),Verified,FIRST AUTHOR. DOI corrected to 10.1063/1.4789602 (NOT 10.1063/1.4789375). Full author list confirmed at AIP incl. M.N. Hedhili; arXiv metadata omits Hedhili.,yes,J. Appl. Phys.,
Journal Article,Peer-reviewed,Generation of J0-Bessel-Gauss beam by an heterogeneous refractive index map,D.P. San-Roman-Alerigi; T.K. Ng; M. Alsunaidi; Y. Zhang; B.S. Ooi,2012,"Journal of the Optical Society of America A 29(7), 1252-1258; Optica (OSA)",https://doi.org/10.1364/JOSAA.29.001252,10.1364/josaa.29.001252,,Preprint: arXiv:1208.4522; dataset figshare 10.6084/m9.figshare.658826,Verified,FIRST AUTHOR. Consolidated with arXiv preprint and figshare dataset.,yes,JOSA A,
Journal Article,Industry / Technical Magazine,First Industrial High Power Laser Perforation Deployment,S.I. Batarseh; D.P. San-Roman-Alerigi; S. Marshall; R.M. Graves,2023 (Winter),"Aramco Journal of Technology, Winter 2023, p.2 (lead article); Saudi Arabian Oil Company (ISSN 1319-2388)",https://www.aramco.com/-/media/publications/jot/2023/2023-jot-winter.pdf,,,Companion to SPE-215016-MS,Verified,LEAD ARTICLE. Missing from ORCID export. Flagship achievement publication.,no,,
Journal Article,Industry / Technical Magazine,Effect of High Power Laser on Mechanical Properties of Steel,W.J. Assiri; D.P. San-Roman-Alerigi; S.I. Batarseh,2023 (Spring),"Aramco Journal of Technology, Spring 2023, p.82; Saudi Arabian Oil Company",https://www.aramco.com/-/media/publications/jot/2023/2023-jot-spring.pdf,,,,Verified,Entirely absent from ORCID export - recovered in this review.,no,,
Journal Article,Industry / Technical Magazine,The Effect of High Power Laser on Organic-Rich Shales,D.P. San-Roman-Alerigi; S.I. Batarseh; W.J. Assiri,2021 (Fall),"Aramco Journal of Technology, Fall 2021, p.2 (lead article); Saudi Arabian Oil Company",https://www.aramco.com/-/media/publications/jot/2021/fall-2021/fall-2021-jot.pdf,,,Companion to SPE-204809-MS,Verified,"FIRST AUTHOR, LEAD ARTICLE. Missing from ORCID export.",no,,
Journal Article,Industry / Technical Magazine,Laser Gun: The Next Perforation Technology,S.I. Batarseh; D.P. San-Roman-Alerigi; O.M. AlObaid; H.A. Othman,2019 (Summer),"Aramco Journal of Technology, Summer 2019, p.2 (lead article); Saudi Arabian Oil Company",https://www.aramco.com/-/media/publications/jot/2019-jot-summer.pdf,,,Companion to SPE-194775-MS,Verified,LEAD ARTICLE. Missing from ORCID export.,no,,
Conference Paper,SPE / Petroleum,Creating Sweet Spot in Tight and Unconventional Reservoirs Utilizing High Power Laser Technology,S. Al Ghamdi; S. Batarseh; D. San Roman Alerigi; A. Alrashed; A. Al Harith,2025-09,"SPE Middle East Oil, Gas and Geosciences Show (MEOS GEO), Manama, Bahrain",https://doi.org/10.2118/227837-MS,10.2118/227837-ms,SPE-227837-MS,OnePetro ID D011S003R001,Verified,Title confirmed in singular form ('Sweet Spot').,no,,
Conference Paper,SPE / Petroleum,Investigating the Role of Different Rock Properties in Laser Perforation,A.A. Alrashed; S.I. Batarseh; D.P. San Roman Alerigi; A.M. Alharith,2025-09,"SPE Middle East Oil, Gas and Geosciences Show (MEOS GEO), Manama, Bahrain",https://doi.org/10.2118/227625-MS,10.2118/227625-ms,SPE-227625-MS,OnePetro ID D021S057R008,Verified,,no,,
Conference Paper,SPE / Petroleum,Laser Technology Accelerating the Path to Net Zero Upstream Operations,A.A. Alrashed; S.I. Batarseh; D.P. San Roman Alerigi; T.Y. Alyousuf,2025-05,"SPE Conference at Oman Petroleum & Energy Show, Muscat, Oman",https://doi.org/10.2118/224865-MS,10.2118/224865-ms,SPE-224865-MS,OnePetro ID D011S008R003,Verified,Sustainability / decarbonization framing of the laser programme.,no,,
Conference Paper,SPE / Petroleum,Laser Descaling Robot for Long Range Scale Removal Applications,H. Abdelmoula; R. Jabari; S. Batarseh; D. San Roman Alerigi,2024-11-04,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/222608-MS,10.2118/222608-ms,SPE-222608-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Validation of the First Industrial High-Power Laser Perforation Deployment,S.I. Batarseh; D.P. San Roman Alerigi; S. Marshall; S. BuHassan,2024-09-20,"SPE Annual Technical Conference and Exhibition (ATCE), New Orleans, USA",https://doi.org/10.2118/220900-MS,10.2118/220900-ms,SPE-220900-MS,,Verified,Field-validation milestone paper.,no,,
Conference Paper,SPE / Petroleum,Automated Wellhead Monitoring Using Deep Learning from Multimodal Imaging,W. Li; Y. Ma; D. San Roman Alerigi,2024-02-12,International Petroleum Technology Conference (IPTC),https://doi.org/10.2523/IPTC-23632-MS,10.2523/iptc-23632-ms,IPTC-23632-MS,Related patents US 12430795 B2; US 12394183 B2,Verified,AI/computer-vision strand.,no,,
Conference Paper,SPE / Petroleum,Aligning Upstream Operations with Sustainable Technology: High Power Lasers,S. Alghamdi; S. Batarseh; A. Alharith; D.P. San Roman Alerigi; A.A. Alrashed,2024,SPE GOTECH Conference,,,,,Partially verified,DOI/paper number not located; confirm on OnePetro before final CV use.,no,,
Conference Paper,SPE / Petroleum,First Industrial High-Power Laser Perforation Deployment,S.I. Batarseh; D.P. San Roman Alerigi; S. Marshall; R.M. Graves,2023-10-09,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/215016-MS,10.2118/215016-ms,SPE-215016-MS,"Companion: Aramco Journal of Technology, Winter 2023",Verified,KEY MILESTONE PAPER.,yes,,
Conference Paper,SPE / Petroleum,Reducing Hydraulic Fracturing Breaking Pressure by Using High Power Lasers,S.I. Batarseh; D.P. San Roman Alerigi; I. Zefzafy; H. Enezi,2023-10-09,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/215162-MS,10.2118/215162-ms,SPE-215162-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Successful Milestones Achieved Towards High-Power Laser Drilling,S.I. Batarseh; D.P. San Roman Alerigi; S. Marshal; K. Reduoane,2023-10-09,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/215166-MS,10.2118/215166-ms,SPE-215166-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Advances in Modeling of High-Power Laser Perforation,A.A. Alrashed; J.L. Miskimins; S.I. Batarseh; D.P. San Roman Alerigi,2023-10-02,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/216209-MS,10.2118/216209-ms,SPE-216209-MS,,Verified,Collaboration with Colorado School of Mines (Miskimins).,no,,
Conference Paper,SPE / Petroleum,Photonic-Hydraulic Fracturing Hybrid Approach Minimizing Breaking Pressure,S.I. Batarseh; D.P. San Roman Alerigi; A.A. Alrashed; I. Zefzafy,2023-10-02,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/216510-MS,10.2118/216510-ms,SPE-216510-MS,,Verified,,no,,
